label,text
fake,"Earn 5000 per day from home. No experience needed. Send registration fee via UPI today and contact us only on WhatsApp."
fake,"Urgent hiring for data entry. Pay a refundable security deposit to receive your offer letter immediately."
fake,"Congratulations selected without interview. Share Aadhaar, bank details and processing payment now."
fake,"Work from home part time job, earn 80000 monthly. Limited seats. Telegram recruiter will guide you."
fake,"International company requires simple typing work. Buy our starter kit first; salary is guaranteed."
fake,"We found your profile. Pay verification charge before your online chat interview with HR."
fake,"Immediate joining. No qualifications, no interview, huge salary. Reply with PAN card and payment screenshot."
fake,"Job offer from famous company. Use personal Gmail and WhatsApp only because our official site is under maintenance."
fake,"Earn daily commission by liking videos. Deposit 999 to activate your employee account."
fake,"Recruitment agency asks for a training fee and promises placement in a government company."
fake,"You are shortlisted. Send passport copy and transfer money for background check today."
fake,"Remote assistant needed. Salary 120000 for two hours daily. Contact recruiter on Telegram urgently."
genuine,"Acme Technologies is hiring a Junior Python Developer in Bengaluru. Apply through careers.acme.example with your resume."
genuine,"We are looking for a customer support associate. The role includes training, health insurance and a structured interview process."
genuine,"Northwind Labs seeks a data analyst with SQL and Excel experience. Salary range and responsibilities are listed on our careers page."
genuine,"The university invites applications for a research assistant. Please submit a CV, cover letter and references by the stated deadline."
genuine,"Our company is recruiting an accountant for our Hyderabad office. Candidates will complete an HR call and technical interview."
genuine,"Software engineer position with a published pay range, benefits, equal opportunity statement and official application portal."
genuine,"Join our product design team. Portfolio review and two video interviews will be scheduled after application review."
genuine,"Retail associate role in Pune. Submit your application through the official company website; no payment is required."
genuine,"We have an internship opening with defined mentorship, duration, stipend and selection rounds described in the job post."
genuine,"Operations coordinator required. Responsibilities, work location, manager and employee benefits are clearly provided."
genuine,"The hospital is hiring a registered nurse. Verify the vacancy on our official careers site and attend an in-person interview."
genuine,"Marketing executive opening. Candidates should have two years experience and may email careers@company.example for questions."
